Approved symbol	Ensembl ID(supplied by Ensembl)
BCAN	ENSG00000132692
BCAP29	ENSG00000075790
BCAP31	ENSG00000185825
BCAP31P1	ENSG00000261217
BCAP31P2	ENSG00000260047
BCAR1	ENSG00000050820
BCAR1P1	ENSG00000258397
BCAR1P2	ENSG00000258771
BCAR3	ENSG00000137936
BCAR4	ENSG00000262117
BCAS1	ENSG00000064787
BCAS2	ENSG00000116752
BCAS2P1	ENSG00000255051
BCAS2P2	ENSG00000234332
BCAS2P3	ENSG00000226670
BCAS3	ENSG00000141376
BCAS4	ENSG00000124243
BCAT1	ENSG00000060982
BCAT2	ENSG00000105552
BCCIP	ENSG00000107949
BCDIN3D	ENSG00000186666
BCDIN3D-AS1	ENSG00000258057
BCHE	ENSG00000114200
BCKDHA	ENSG00000248098
BCKDHB	ENSG00000083123
BCKDK	ENSG00000103507
BCL2	ENSG00000171791
BCL2A1	ENSG00000140379
BCL2L1	ENSG00000171552
BCL2L2	ENSG00000129473
BCL2L2-PABPN1	ENSG00000258643
BCL2L10	ENSG00000137875
BCL2L11	ENSG00000153094
BCL2L12	ENSG00000126453
BCL2L12P1	ENSG00000248530
BCL2L13	ENSG00000099968
BCL2L14	ENSG00000121380
BCL2L15	ENSG00000188761
BCL3	ENSG00000069399
BCL5	
BCL6	ENSG00000113916
BCL6-AS1	
BCL6B	ENSG00000161940
BCL7A	ENSG00000110987
BCL7B	ENSG00000106635
BCL7C	ENSG00000099385
BCL9	ENSG00000116128
BCL9L	ENSG00000186174
BCL9P1	ENSG00000249238
BCL10	ENSG00000142867
BCL11A	ENSG00000119866
BCL11B	ENSG00000127152
BCLAF1	ENSG00000029363
BCLAF1P1	ENSG00000248966
BCLAF1P2	ENSG00000279800
BCLAF3	ENSG00000173681
BCO1	ENSG00000135697
BCO2	ENSG00000197580
BCOR	ENSG00000183337
BCORL1	ENSG00000085185
BCORP1	ENSG00000215580
BCR	ENSG00000186716
BCRP1	ENSG00000225098
BCRP2	ENSG00000169668
BCRP3	ENSG00000215481
BCRP4	ENSG00000215456
BCRP5	ENSG00000235062
BCRP6	ENSG00000169662
BCRP7	ENSG00000215544
BCRP8	ENSG00000236794
BCRP9	ENSG00000271287
BCS1L	ENSG00000074582
BCYRN1	ENSG00000236824
BCYRN1P1	
BCYRN1P2	
BCYRN1P3	
BDH1	ENSG00000161267
BDH2	ENSG00000164039
BDH2P1	ENSG00000232699
BDKRB1	ENSG00000100739
BDKRB2	ENSG00000168398
BDNF	ENSG00000176697
BDNF-AS	ENSG00000245573
BDP1	ENSG00000145734
BDP1P	ENSG00000264736
BEAN1	ENSG00000166546
BEAN1-AS1	ENSG00000261656
BECN1	ENSG00000126581
BECN1P2	ENSG00000219669
BECN2	ENSG00000196289
BEGAIN	ENSG00000183092
BEND2	ENSG00000177324
BEND3	ENSG00000178409
BEND3P1	ENSG00000231345
BEND3P2	ENSG00000224809
BEND3P3	ENSG00000278616
BEND4	ENSG00000188848
BEND5	ENSG00000162373
BEND6	ENSG00000151917
BEND7	ENSG00000165626
BEND7P1	ENSG00000230320
BEST1	ENSG00000167995
BEST2	ENSG00000039987
BEST3	ENSG00000127325
BEST4	ENSG00000142959
BET1	ENSG00000105829
BET1L	ENSG00000177951
BET1P1	ENSG00000241134
BEX1	ENSG00000133169
BEX2	ENSG00000133134
BEX3	ENSG00000166681
BEX4	ENSG00000102409
BEX5	ENSG00000184515
BFAR	ENSG00000103429
BFSP1	ENSG00000125864
BFSP2	ENSG00000170819
BFSP2-AS1	ENSG00000249993
BGLAP	ENSG00000242252
BGLT3	ENSG00000260629
BGN	ENSG00000182492
BHLHA9	ENSG00000205899
BHLHA15	ENSG00000180535
BHLHB9	ENSG00000198908
BHLHB9P1	ENSG00000258915
BHLHE22	ENSG00000180828
BHLHE23	ENSG00000125533
BHLHE40	ENSG00000134107
BHLHE40-AS1	ENSG00000235831
BHLHE41	ENSG00000123095
BHMG1	ENSG00000237452
BHMT	ENSG00000145692
BHMT2	ENSG00000132840
BICC1	ENSG00000122870
BICD1	ENSG00000151746
BICD1P1	ENSG00000224346
BICD2	ENSG00000185963
BICDL1	ENSG00000135127
BICDL2	ENSG00000162069
BICRA	ENSG00000063169
BICRA-AS1	ENSG00000269806
BICRAL	ENSG00000112624
BID	ENSG00000015475
BIK	ENSG00000100290
BIN1	ENSG00000136717
BIN2	ENSG00000110934
BIN2P1	ENSG00000234568
BIN2P2	ENSG00000248684
BIN3	ENSG00000147439
BIN3-IT1	
BIRC2	ENSG00000110330
BIRC3	ENSG00000023445
BIRC5	ENSG00000089685
BIRC6	ENSG00000115760
BIRC6-AS1	ENSG00000230046
BIRC6-AS2	ENSG00000279897
BIRC7	ENSG00000101197
BIRC8	ENSG00000163098
BISPR	ENSG00000282851
BIVM	ENSG00000134897
BIVM-ERCC5	ENSG00000270181
BLACAT1	ENSG00000281406
BLACE	ENSG00000204960
BLCAP	ENSG00000166619
BLID	ENSG00000259571
BLK	ENSG00000136573
BLM	ENSG00000197299
BLMH	ENSG00000108578
BLNK	ENSG00000095585
BLOC1S1	ENSG00000135441
BLOC1S2	ENSG00000196072
BLOC1S2P1	ENSG00000236982
BLOC1S3	ENSG00000189114
BLOC1S4	ENSG00000186222
BLOC1S5	ENSG00000188428
BLOC1S5-TXNDC5	ENSG00000259040
BLOC1S6	ENSG00000104164
BLVRA	ENSG00000106605
BLVRB	ENSG00000090013
BLZF1	ENSG00000117475
BLZF2P	ENSG00000258565
BMERB1	ENSG00000166780
BMF	ENSG00000104081
BMF-AS1	ENSG00000259409
BMI1	ENSG00000168283
BMI1P1	ENSG00000234201
BMIQ1	
BMIQ2	
BMIQ3	
BMIQ5	
BMIQ6	
BMNCR	
BMP1	ENSG00000168487
BMP2	ENSG00000125845
BMP2K	ENSG00000138756
BMP2KL	ENSG00000204113
BMP3	ENSG00000152785
BMP4	ENSG00000125378
BMP5	ENSG00000112175
BMP6	ENSG00000153162
BMP6P1	ENSG00000236323
BMP7	ENSG00000101144
BMP7-AS1	ENSG00000235032
BMP8A	ENSG00000183682
BMP8B	ENSG00000116985
BMP10	ENSG00000163217
BMP15	ENSG00000130385
BMPER	ENSG00000164619
BMPR1A	ENSG00000107779
BMPR1AP1	ENSG00000219642
BMPR1AP2	ENSG00000232460
BMPR1B	ENSG00000138696
BMPR1B-DT	ENSG00000249599
BMPR2	ENSG00000204217
BMS1	ENSG00000165733
BMS1P1	ENSG00000204177
BMS1P2	ENSG00000251079
BMS1P3	ENSG00000240089
BMS1P4	ENSG00000242338
BMS1P7	ENSG00000270025
BMS1P8	ENSG00000260518
BMS1P9	ENSG00000198312
BMS1P10	ENSG00000237238
BMS1P11	ENSG00000225883
BMS1P12	ENSG00000224599
BMS1P13	ENSG00000231701
BMS1P14	ENSG00000276500
BMS1P15	ENSG00000258780
BMS1P16	ENSG00000258684
BMS1P17	ENSG00000228294
BMS1P18	
BMS1P19	ENSG00000231099
BMS1P20	
BMS1P21	ENSG00000283101
BMS1P22	ENSG00000232775
BMT2	ENSG00000164603
BMX	ENSG00000102010
BNC1	ENSG00000169594
BNC2	ENSG00000173068
BNC2-AS1	ENSG00000234779
BNIP1	ENSG00000113734
BNIP2	ENSG00000140299
BNIP3	ENSG00000176171
BNIP3L	ENSG00000104765
BNIP3P1	ENSG00000197358
BNIP3P2	ENSG00000236097
BNIP3P3	ENSG00000265631
BNIP3P4	ENSG00000271225
BNIP3P5	ENSG00000260571
BNIP3P6	ENSG00000257356
BNIP3P7	ENSG00000270496
BNIP3P8	ENSG00000269431
BNIP3P9	ENSG00000270325
BNIP3P10	ENSG00000270270
BNIP3P11	ENSG00000271550
BNIP3P12	
BNIP3P13	ENSG00000269154
BNIP3P14	
BNIP3P15	ENSG00000270716
BNIP3P16	ENSG00000267641
BNIP3P17	ENSG00000271524
BNIP3P18	ENSG00000269055
BNIP3P19	ENSG00000271638
BNIP3P20	ENSG00000271704
BNIP3P21	
BNIP3P22	ENSG00000268174
BNIP3P23	ENSG00000268335
BNIP3P24	ENSG00000269040
BNIP3P25	ENSG00000268322
BNIP3P26	ENSG00000268705
BNIP3P27	ENSG00000268438
BNIP3P28	ENSG00000271095
BNIP3P29	ENSG00000269742
BNIP3P30	ENSG00000268079
BNIP3P31	ENSG00000270191
BNIP3P32	ENSG00000268830
BNIP3P33	ENSG00000268717
BNIP3P34	ENSG00000269509
BNIP3P35	ENSG00000271655
BNIP3P36	ENSG00000271661
BNIP3P37	ENSG00000270479
BNIP3P38	ENSG00000268469
BNIP3P39	ENSG00000269662
BNIP3P40	ENSG00000268058
BNIP3P41	ENSG00000248302
BNIP3P42	ENSG00000223974
BNIP5	ENSG00000189325
BNIPL	ENSG00000163141
BOC	ENSG00000144857
BOD1	ENSG00000145919
BOD1L1	ENSG00000038219
BOD1L2	ENSG00000228075
BOD1P1	ENSG00000263460
BOD1P2	ENSG00000215368
BOK	ENSG00000176720
BOK-AS1	ENSG00000234235
BOLA1	ENSG00000178096
BOLA2	ENSG00000183336
BOLA2-SMG1P6	ENSG00000261740
BOLA2B	ENSG00000169627
BOLA2P1	ENSG00000266575
BOLA2P2	ENSG00000271161
BOLA2P3	ENSG00000220771
BOLA3	ENSG00000163170
BOLA3-AS1	ENSG00000225439
BOLA3P1	ENSG00000255469
BOLA3P2	ENSG00000267332
BOLA3P3	ENSG00000213630
BOLA3P4	ENSG00000223807
BOLL	ENSG00000152430
BOP1	ENSG00000261236
BORA	ENSG00000136122
BORCS5	ENSG00000165714
BORCS6	ENSG00000196544
BORCS7	ENSG00000166275
BORCS7-ASMT	ENSG00000270316
BORCS8	ENSG00000254901
BORCS8-MEF2B	ENSG00000064489
BPESC1	ENSG00000232416
BPGM	ENSG00000172331
BPHL	ENSG00000137274
BPI	ENSG00000101425
BPIFA1	ENSG00000198183
BPIFA2	ENSG00000131050
BPIFA3	ENSG00000131059
BPIFA4P	ENSG00000183566
BPIFB1	ENSG00000125999
BPIFB2	ENSG00000078898
BPIFB3	ENSG00000186190
BPIFB4	ENSG00000186191
BPIFB5P	ENSG00000233146
BPIFB6	ENSG00000167104
BPIFB9P	ENSG00000125997
BPIFC	ENSG00000184459
BPNT1	ENSG00000162813
BPTF	ENSG00000171634
BPTFP1	ENSG00000263647
BPY2	ENSG00000183753
BPY2B	ENSG00000183795
BPY2C	ENSG00000185894
BPY2DP	ENSG00000229745
BRAF	ENSG00000157764
BRAFP1	ENSG00000224775
BRAP	ENSG00000089234
BRAT1	ENSG00000106009
BRCA1	ENSG00000012048
BRCA1P1	
BRCA2	ENSG00000139618
BRCA3	
BRCC3	ENSG00000185515
BRCC3P1	ENSG00000251667
BRD1	ENSG00000100425
BRD2	ENSG00000204256
BRD3	ENSG00000169925
BRD3OS	ENSG00000235106
BRD4	ENSG00000141867
BRD7	ENSG00000166164
BRD7P1	ENSG00000259043
BRD7P2	ENSG00000184100
BRD7P3	
BRD7P4	ENSG00000218676
BRD7P5	ENSG00000235768
BRD7P6	ENSG00000235289
BRD8	ENSG00000112983
BRD9	ENSG00000028310
BRD9P1	ENSG00000254736
BRD9P2	ENSG00000249908
BRDT	ENSG00000137948
BRDTP1	ENSG00000271209
BRF1	ENSG00000185024
BRF2	ENSG00000104221
BRI3	ENSG00000164713
BRI3BP	ENSG00000184992
BRI3BPP1	ENSG00000269136
BRI3P1	ENSG00000225169
BRI3P2	
BRI3P3	
BRICD5	ENSG00000182685
BRINP1	ENSG00000078725
BRINP2	ENSG00000198797
BRINP3	ENSG00000162670
BRIP1	ENSG00000136492
BRIX1	ENSG00000113460
BRIX1P1	ENSG00000254025
BRK1	ENSG00000254999
BRK1P1	
BRK1P2	ENSG00000227983
BRMS1	ENSG00000174744
BRMS1L	ENSG00000100916
BROX	ENSG00000162819
BRPF1	ENSG00000156983
BRPF3	ENSG00000096070
BRS3	ENSG00000102239
BRSK1	ENSG00000160469
BRSK2	ENSG00000174672
BRWD1	ENSG00000185658
BRWD1-AS1	ENSG00000238141
BRWD1-AS2	ENSG00000255568
BRWD1-IT1	ENSG00000237373
BRWD1P1	ENSG00000215909
BRWD1P2	ENSG00000258290
BRWD1P3	ENSG00000232841
BRWD3	ENSG00000165288
BSCL2	ENSG00000168000
BSDC1	ENSG00000160058
BSG	ENSG00000172270
BSN	ENSG00000164061
BSN-AS1	ENSG00000235120
BSN-DT	ENSG00000226913
BSND	ENSG00000162399
BSNDP1	ENSG00000275048
BSNDP2	ENSG00000274973
BSNDP3	ENSG00000277508
BSNDP4	ENSG00000229627
BSPH1	ENSG00000188334
BSPRY	ENSG00000119411
BST1	ENSG00000109743
BST2	ENSG00000130303
BSX	ENSG00000188909
BTAF1	ENSG00000095564
BTBD1	ENSG00000064726
BTBD2	ENSG00000133243
BTBD3	ENSG00000132640
BTBD6	ENSG00000184887
BTBD6P1	ENSG00000229106
BTBD7	ENSG00000011114
BTBD7P1	ENSG00000203414
BTBD7P2	ENSG00000237618
BTBD8	ENSG00000189195
BTBD9	ENSG00000183826
BTBD9-AS1	ENSG00000226533
BTBD10	ENSG00000148925
BTBD10P1	ENSG00000257675
BTBD10P2	ENSG00000219433
BTBD11	ENSG00000151136
BTBD16	ENSG00000138152
BTBD17	ENSG00000204347
BTBD18	ENSG00000233436
BTBD19	ENSG00000222009
BTC	ENSG00000174808
BTD	ENSG00000169814
BTF3	ENSG00000145741
BTF3L4	ENSG00000134717
BTF3L4P1	ENSG00000232260
BTF3L4P2	ENSG00000213189
BTF3L4P3	ENSG00000213108
BTF3L4P4	ENSG00000229226
BTF3P1	ENSG00000254225
BTF3P2	ENSG00000258282
BTF3P3	
BTF3P4	ENSG00000224820
BTF3P5	ENSG00000233594
BTF3P6	ENSG00000233956
BTF3P7	ENSG00000219986
BTF3P8	ENSG00000236813
BTF3P9	ENSG00000224834
BTF3P10	ENSG00000231120
BTF3P11	ENSG00000118903
BTF3P12	ENSG00000213003
BTF3P13	ENSG00000227118
BTF3P14	ENSG00000262609
BTF3P15	ENSG00000237242
BTF3P16	
BTG1	ENSG00000133639
BTG1P1	ENSG00000256720
BTG2	ENSG00000159388
BTG3	ENSG00000154640
BTG3-AS1	ENSG00000280594
BTG3P1	ENSG00000235334
BTG4	ENSG00000137707
BTG4P1	ENSG00000248156
BTK	ENSG00000010671
BTLA	ENSG00000186265
BTN1A1	ENSG00000124557
BTN1A1P1	
BTN2A1	ENSG00000112763
BTN2A2	ENSG00000124508
BTN2A3P	ENSG00000124549
BTN3A1	ENSG00000026950
BTN3A2	ENSG00000186470
BTN3A3	ENSG00000111801
BTNL2	ENSG00000204290
BTNL3	ENSG00000168903
BTNL8	ENSG00000113303
BTNL9	ENSG00000165810
BTNL10	ENSG00000215811
BTRC	ENSG00000166167
BTRCP1	
BTS1	
BUB1	ENSG00000169679
BUB1B	ENSG00000156970
BUB1B-PAK6	ENSG00000259288
BUB1P1	ENSG00000270778
BUB3	ENSG00000154473
BUB3P1	ENSG00000227968
BUD13	ENSG00000137656
BUD13P1	ENSG00000270689
BUD23	ENSG00000071462
BUD31	ENSG00000106245
BUD31P1	ENSG00000253684
BUD31P2	ENSG00000229661
BVES	ENSG00000112276
BVES-AS1	ENSG00000203808
BVR1	
BYSL	ENSG00000112578
BZW1	ENSG00000082153
BZW1P1	ENSG00000236686
BZW1P2	ENSG00000198406
BZW2	ENSG00000136261
C1D	ENSG00000197223
C1DP1	ENSG00000231245
C1DP2	ENSG00000236217
C1DP3	ENSG00000224760
C1DP4	ENSG00000227515
C1DP5	ENSG00000254965
C1GALT1	ENSG00000106392
C1GALT1C1	ENSG00000171155
C1GALT1C1L	ENSG00000223658
C1GALT1P1	ENSG00000257818
C1GALT1P2	ENSG00000251435
C1GALT1P3	ENSG00000253544
C1orf21	ENSG00000116667
C1orf35	ENSG00000143793
C1orf43	ENSG00000143612
C1orf50	ENSG00000164008
C1orf52	ENSG00000162642
C1orf53	ENSG00000203724
C1orf54	ENSG00000118292
C1orf56	ENSG00000143443
C1orf61	ENSG00000125462
C1orf68	ENSG00000198854
C1orf74	ENSG00000162757
C1orf87	ENSG00000162598
C1orf94	ENSG00000142698
C1orf100	ENSG00000173728
C1orf105	ENSG00000180999
C1orf109	ENSG00000116922
C1orf112	ENSG00000000460
C1orf115	ENSG00000162817
C1orf116	ENSG00000182795
C1orf122	ENSG00000197982
C1orf127	ENSG00000175262
C1orf131	ENSG00000143633
C1orf137	ENSG00000203864
C1orf141	ENSG00000203963
C1orf143	ENSG00000228208
C1orf146	ENSG00000203910
C1orf147	ENSG00000162888
C1orf158	ENSG00000157330
C1orf159	ENSG00000131591
C1orf162	ENSG00000143110
C1orf167	ENSG00000215910
C1orf174	ENSG00000198912
C1orf185	ENSG00000204006
C1orf189	ENSG00000163263
C1orf194	ENSG00000179902
C1orf195	ENSG00000204464
C1orf196	
C1orf198	ENSG00000119280
C1orf210	ENSG00000253313
C1orf216	ENSG00000142686
C1orf220	ENSG00000213057
C1orf226	ENSG00000239887
C1orf229	ENSG00000221953
C1orf232	ENSG00000282872
C1QA	ENSG00000173372
C1QB	ENSG00000173369
C1QBP	ENSG00000108561
C1QBPP1	ENSG00000215353
C1QBPP2	ENSG00000213409
C1QBPP3	
C1QC	ENSG00000159189
C1QL1	ENSG00000131094
C1QL1P1	ENSG00000260134
C1QL2	ENSG00000144119
C1QL3	ENSG00000165985
C1QL4	ENSG00000186897
C1QTNF1	ENSG00000173918
C1QTNF1-AS1	ENSG00000265096
C1QTNF2	ENSG00000145861
C1QTNF3	ENSG00000082196
C1QTNF3-AMACR	ENSG00000273294
C1QTNF4	ENSG00000172247
C1QTNF5	ENSG00000223953
C1QTNF6	ENSG00000133466
C1QTNF7	ENSG00000163145
C1QTNF8	ENSG00000184471
C1QTNF9	ENSG00000240654
C1QTNF9-AS1	ENSG00000240868
C1QTNF9B	ENSG00000205863
C1QTNF12	ENSG00000184163
C1R	ENSG00000159403
C1RL	ENSG00000139178
C1RL-AS1	ENSG00000205885
C1S	ENSG00000182326
C2	ENSG00000166278
C2-AS1	ENSG00000281756
C2CD2	ENSG00000157617
C2CD2L	ENSG00000172375
C2CD3	ENSG00000168014
C2CD4A	ENSG00000198535
C2CD4B	ENSG00000205502
C2CD4C	ENSG00000183186
C2CD4D	ENSG00000225556
C2CD4D-AS1	ENSG00000234614
C2CD5	ENSG00000111731
C2CD6	ENSG00000155754
C2orf15	ENSG00000273045
C2orf16	ENSG00000221843
C2orf27A	ENSG00000197927
C2orf27AP1	ENSG00000273693
C2orf27AP2	ENSG00000239792
C2orf27AP3	ENSG00000230804
C2orf27B	ENSG00000186825
C2orf42	ENSG00000115998
C2orf48	
C2orf49	ENSG00000135974
C2orf50	ENSG00000150873
C2orf66	ENSG00000187944
C2orf68	ENSG00000168887
C2orf69	ENSG00000178074
C2orf69P1	ENSG00000261046
C2orf69P2	ENSG00000260341
C2orf69P3	ENSG00000261299
C2orf69P4	ENSG00000260480
C2orf69P5	
C2orf70	ENSG00000173557
C2orf72	ENSG00000204128
C2orf73	ENSG00000177994
C2orf74	ENSG00000237651
C2orf76	ENSG00000186132
C2orf78	ENSG00000187833
C2orf80	ENSG00000188674
C2orf81	ENSG00000284308
C2orf83	ENSG00000042304
C2orf88	ENSG00000187699
C2orf91	ENSG00000205086
C2orf92	ENSG00000228486
C3	ENSG00000125730
C3AR1	ENSG00000171860
C3CER1	
C3orf14	ENSG00000114405
C3orf18	ENSG00000088543
C3orf20	ENSG00000131379
C3orf22	ENSG00000180697
C3orf33	ENSG00000174928
C3orf35	ENSG00000198590
C3orf36	
C3orf38	ENSG00000179021
C3orf49	ENSG00000163632
C3orf52	ENSG00000114529
C3orf56	ENSG00000214324
C3orf62	ENSG00000188315
C3orf67	ENSG00000163689
C3orf67-AS1	ENSG00000242428
C3orf70	ENSG00000187068
C3orf79	ENSG00000237787
C3orf80	ENSG00000180044
C3orf84	ENSG00000236980
C3orf85	ENSG00000241224
C3orf86	ENSG00000225873
C3P1	ENSG00000167798
C4A	ENSG00000244731
C4A-AS1	ENSG00000233627
C4B	ENSG00000224389
C4B_2	
C4B-AS1	ENSG00000229776
C4BPA	ENSG00000123838
C4BPAP1	ENSG00000224462
C4BPAP2	ENSG00000232621
C4BPAP3	
C4BPB	ENSG00000123843
C4orf3	ENSG00000164096
C4orf17	ENSG00000138813
C4orf19	ENSG00000154274
C4orf33	ENSG00000151470
C4orf36	ENSG00000163633
C4orf45	ENSG00000164123
C4orf46	ENSG00000205208
C4orf47	ENSG00000205129
C4orf48	ENSG00000243449
C4orf50	ENSG00000181215
C4orf51	ENSG00000237136
C4orf54	ENSG00000248713
C5	ENSG00000106804
C5-OT1	
C5AR1	ENSG00000197405
C5AR2	ENSG00000134830
C5orf15	ENSG00000113583
C5orf17	ENSG00000248874
C5orf22	ENSG00000082213
C5orf24	ENSG00000181904
C5orf30	ENSG00000181751
C5orf34	ENSG00000172244
C5orf38	ENSG00000186493
C5orf46	ENSG00000178776
C5orf47	ENSG00000185056
C5orf49	ENSG00000215217
C5orf51	ENSG00000205765
C5orf52	ENSG00000187658
C5orf56	ENSG00000197536
C5orf58	ENSG00000234511
C5orf60	ENSG00000204661
C5orf63	ENSG00000164241
C5orf64	ENSG00000178722
C5orf64-AS1	ENSG00000251575
C5orf66	ENSG00000224186
C5orf66-AS1	ENSG00000249082
C5orf66-AS2	ENSG00000249647
C5orf67	ENSG00000225940
C6	ENSG00000039537
C6orf15	ENSG00000204542
C6orf47	ENSG00000204439
C6orf47-AS1	ENSG00000227198
C6orf52	ENSG00000137434
C6orf58	ENSG00000184530
C6orf62	ENSG00000112308
C6orf89	ENSG00000198663
C6orf99	ENSG00000203711
C6orf118	ENSG00000112539
C6orf120	ENSG00000185127
C6orf132	ENSG00000188112
C6orf136	ENSG00000204564
C6orf141	ENSG00000197261
C6orf163	ENSG00000203872
C6orf201	ENSG00000185689
C6orf203	ENSG00000130349
C6orf223	ENSG00000181577
C6orf226	ENSG00000221821
C7	ENSG00000112936
C7orf25	ENSG00000136197
C7orf26	ENSG00000146576
C7orf31	ENSG00000153790
C7orf33	ENSG00000170279
C7orf50	ENSG00000146540
C7orf57	ENSG00000164746
C7orf61	ENSG00000185955
C7orf65	ENSG00000221845
C7orf66	ENSG00000205174
C7orf69	ENSG00000136275
C7orf71	ENSG00000222004
C7orf77	ENSG00000275356
C8A	ENSG00000157131
C8B	ENSG00000021852
C8G	ENSG00000176919
C8orf17	ENSG00000250733
C8orf31	ENSG00000177335
C8orf33	ENSG00000182307
C8orf34	ENSG00000165084
C8orf34-AS1	ENSG00000248801
C8orf37	ENSG00000156172
C8orf37-AS1	ENSG00000253773
C8orf44	ENSG00000213865
C8orf44-SGK3	
C8orf48	ENSG00000164743
C8orf49	ENSG00000255394
C8orf58	ENSG00000241852
C8orf74	ENSG00000171060
C8orf76	ENSG00000189376
C8orf82	ENSG00000213563
C8orf86	ENSG00000196166
C8orf87	ENSG00000279847
C8orf88	ENSG00000253250
C8orf89	ENSG00000274443
C9	ENSG00000113600
C9orf16	ENSG00000171159
C9orf24	ENSG00000164972
C9orf40	ENSG00000135045
C9orf43	ENSG00000157653
C9orf47	
C9orf50	ENSG00000179058
C9orf57	ENSG00000204669
C9orf62	ENSG00000178243
C9orf64	ENSG00000165118
C9orf72	ENSG00000147894
C9orf78	ENSG00000136819
C9orf85	ENSG00000155621
C9orf92	ENSG00000205549
C9orf106	ENSG00000179082
C9orf116	ENSG00000160345
C9orf129	ENSG00000204352
C9orf131	ENSG00000174038
C9orf135	ENSG00000204711
C9orf135-DT	ENSG00000225626
C9orf139	ENSG00000180539
C9orf147	ENSG00000230185
C9orf152	ENSG00000188959
C9orf153	ENSG00000187753
C9orf163	ENSG00000196366
C9orf170	ENSG00000204446
C10orf25	ENSG00000165511
C10orf53	ENSG00000178645
C10orf55	ENSG00000222047
C10orf62	ENSG00000203942
C10orf67	ENSG00000179133
C10orf71	ENSG00000177354
C10orf71-AS1	ENSG00000236208
C10orf82	ENSG00000165863
C10orf88	ENSG00000119965
C10orf90	ENSG00000154493
C10orf91	ENSG00000180066
C10orf95	ENSG00000120055
C10orf99	ENSG00000188373
C10orf105	ENSG00000214688
C10orf113	ENSG00000204683
C10orf120	ENSG00000183559
C10orf126	
C10orf142	ENSG00000277288
C10orf143	ENSG00000237489
C11orf1	ENSG00000137720
C11orf16	ENSG00000176029
C11orf21	ENSG00000110665
C11orf24	ENSG00000171067
C11orf40	ENSG00000171987
C11orf42	ENSG00000180878
C11orf44	ENSG00000175728
C11orf45	ENSG00000174370
C11orf49	ENSG00000149179
C11orf52	ENSG00000149300
C11orf53	ENSG00000150750
C11orf54	ENSG00000182919
C11orf58	ENSG00000110696
C11orf65	ENSG00000166323
C11orf68	ENSG00000175573
C11orf71	ENSG00000180425
C11orf72	ENSG00000184224
C11orf74	ENSG00000166352
C11orf80	ENSG00000173715
C11orf86	ENSG00000173237
C11orf87	ENSG00000185742
C11orf88	ENSG00000183644
C11orf91	ENSG00000205177
C11orf94	ENSG00000234776
C11orf95	ENSG00000188070
C11orf96	ENSG00000187479
C11orf97	ENSG00000257057
C11orf98	ENSG00000278615
C11orf98P1	ENSG00000232158
C12orf4	ENSG00000047621
C12orf10	ENSG00000139637
C12orf29	ENSG00000133641
C12orf40	ENSG00000180116
C12orf42	ENSG00000179088
C12orf43	ENSG00000157895
C12orf45	ENSG00000151131
C12orf49	ENSG00000111412
C12orf50	ENSG00000165805
C12orf54	ENSG00000177627
C12orf56	ENSG00000185306
C12orf57	ENSG00000111678
C12orf60	ENSG00000182993
C12orf65	ENSG00000130921
C12orf66	ENSG00000174206
C12orf71	ENSG00000214700
C12orf73	ENSG00000204954
C12orf74	ENSG00000187510
C12orf75	ENSG00000235162
C12orf76	ENSG00000174456
C12orf77	ENSG00000226397
C12orf80	ENSG00000257137
C12orf81	
C13orf42	ENSG00000226792
C13orf46	ENSG00000283199
C14orf28	ENSG00000179476
C14orf39	ENSG00000179008
C14orf93	ENSG00000100802
C14orf119	ENSG00000179933
C14orf132	ENSG00000227051
C14orf177	ENSG00000176605
C14orf178	ENSG00000197734
C14orf180	ENSG00000184601
C15orf32	ENSG00000183643
C15orf39	ENSG00000167173
C15orf40	ENSG00000169609
C15orf41	ENSG00000186073
C15orf48	ENSG00000166920
C15orf54	ENSG00000175746
C15orf56	ENSG00000176753
C15orf61	ENSG00000189227
C15orf62	ENSG00000188277
C15orf65	ENSG00000261652
C16orf46	ENSG00000166455
C16orf47	
C16orf54	ENSG00000185905
C16orf58	ENSG00000140688
C16orf70	ENSG00000125149
C16orf71	ENSG00000166246
C16orf72	ENSG00000182831
C16orf74	ENSG00000154102
C16orf78	ENSG00000166152
C16orf82	ENSG00000234186
C16orf86	ENSG00000159761
C16orf87	ENSG00000155330
C16orf89	ENSG00000153446
C16orf90	ENSG00000215131
C16orf91	ENSG00000174109
C16orf92	ENSG00000167194
C16orf95	ENSG00000260456
C16orf96	ENSG00000205832
C16orf97	ENSG00000261190
C17orf49	ENSG00000258315
C17orf50	ENSG00000270806
C17orf53	ENSG00000125319
C17orf58	ENSG00000186665
C17orf64	ENSG00000141371
C17orf67	ENSG00000214226
C17orf75	ENSG00000108666
C17orf77	ENSG00000182352
C17orf78	ENSG00000278505
C17orf80	ENSG00000141219
C17orf82	ENSG00000187013
C17orf97	ENSG00000187624
C17orf98	ENSG00000275489
C17orf99	ENSG00000187997
C17orf100	ENSG00000256806
C17orf102	ENSG00000197322
C17orf107	ENSG00000205710
C17orf112	ENSG00000227011
C17orf113	ENSG00000267221
C18orf12	ENSG00000280197
C18orf15	ENSG00000279020
C18orf21	ENSG00000141428
C18orf25	ENSG00000152242
C18orf32	ENSG00000177576
C18orf54	ENSG00000166845
C18orf63	ENSG00000206043
